LOCATION,Country,VAR,Variable ,TIME,Time,Unit Code,Unit,PowerCode ,PowerCode,Reference ,Reference ,Value
EST,Estonia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,2.846
LVA,Latvia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,2.34
LTU,Lithuania,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,868
SVN,Slovenia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,689
OECD,OECD - Total,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,1.079
ISR,Israel,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,1.629
CRI,Costa Rica,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2014,2014,0,0,0,Units,0,0,883
AUS,Australia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,1.081
AUT,Austria,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,4.344
BEL,Belgium,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,588
CAN,Canada,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,1.357
CZE,Czechia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,611
DNK,Denmark,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,2.824
FIN,Finland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,6.675
FRA,France,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,1.034
DEU,Germany,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,884
GRC,Greece,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,609
HUN,Hungary,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,1.267
ISL,Iceland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,2.914
IRL,Ireland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,2.144
ITA,Italy,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,1.36
JPN,Japan,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,2.16
KOR,Korea,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,2.791
LUX,Luxembourg,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,2.137
MEX,Mexico,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,399
NLD,Netherlands,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,782
NZL,New Zealand,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,612
NOR,Norway,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,1.86
POL,Poland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,2.123
PRT,Portugal,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,1.248
ESP,Spain,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,907
SWE,Sweden,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,3.497
CHE,Switzerland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,1.588
TUR,Türkiye,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,1.329
GBR,United Kingdom,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,1.505
USA,United States,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,2.213
COL,Colombia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,828
EST,Estonia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,3.528
LVA,Latvia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,6.196
LTU,Lithuania,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,1.294
SVN,Slovenia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,1.006
OECD,OECD - Total,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,1.79
